frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
1, 0, 0.992054, 1, 0.21155, 0.189897, -0.958742, 0.0217415, 0.146954, -0.988904, 0.255053, 0.324924, -0.910699, 0.0621388, 0.311942, -0.948067
2, 0.0333333, 0.991762, 1, 0.224177, 0.186965, -0.956446, 0.0230672, 0.151118, -0.988247, 0.262064, 0.32573, -0.908418, 0.0585088, 0.323298, -0.944487
3, 0.0666667, 0.991636, 1, 0.225321, 0.183741, -0.956802, 0.0248431, 0.15109, -0.988208, 0.260182, 0.324621, -0.909355, 0.0575327, 0.325953, -0.943634
4, 0.1, 0.991989, 1, 0.23346, 0.195836, -0.952442, 0.0209974, 0.158145, -0.987193, 0.286368, 0.319585, -0.903249, 0.0717859, 0.319817, -0.944756
5, 0.133333, 0.992227, 1, 0.244676, 0.18143, -0.952479, 0.029242, 0.166361, -0.985631, 0.307609, 0.295704, -0.904398, 0.0938599, 0.319435, -0.942948
6, 0.166667, 0.99206, 1, 0.237409, 0.197499, -0.951121, 0.0245299, 0.165239, -0.985948, 0.316725, 0.303484, -0.898656, 0.103654, 0.311596, -0.944544
7, 0.2, 0.992038, 1, 0.231796, 0.190426, -0.953944, 0.0294781, 0.156455, -0.987245, 0.309259, 0.290452, -0.905537, 0.106195, 0.29498, -0.949584
8, 0.233333, 0.99216, 1, 0.240296, 0.199127, -0.950056, 0.0243398, 0.164461, -0.986083, 0.320819, 0.294831, -0.900084, 0.104432, 0.301561, -0.94771
9, 0.266667, 0.992166, 1, 0.224372, 0.18605, -0.956579, 0.0256999, 0.162663, -0.986347, 0.300809, 0.277614, -0.912384, 0.10277, 0.290755, -0.951262
10, 0.3, 0.992209, 1, 0.223048, 0.187164, -0.956671, 0.0282396, 0.160323, -0.986661, 0.29966, 0.278328, -0.912544, 0.104911, 0.287349, -0.952063
11, 0.333333, 0.992195, 1, 0.224819, 0.190533, -0.955591, 0.0196645, 0.149214, -0.988609, 0.302812, 0.279018, -0.911292, 0.0958725, 0.275345, -0.956553
12, 0.366667, 0.992102, 1, 0.214103, 0.185645, -0.959008, 0.0232962, 0.15198, -0.988109, 0.294905, 0.274334, -0.915299, 0.103258, 0.274489, -0.95603
13, 0.4, 0.991992, 1, 0.187109, 0.194127, -0.962967, 0.0218066, 0.155894, -0.987533, 0.273104, 0.285198, -0.918736, 0.105971, 0.275129, -0.955549
14, 0.433333, 0.992313, 1, 0.21378, 0.195406, -0.957139, 0.00966278, 0.152389, -0.988273, 0.300824, 0.279078, -0.911932, 0.095324, 0.269187, -0.958359
15, 0.466667, 0.991745, 1, 0.217944, 0.192935, -0.956701, 0.00905824, 0.153071, -0.988174, 0.308503, 0.276452, -0.910165, 0.0990477, 0.269133, -0.957996
16, 0.5, 0.992123, 1, 0.215302, 0.205959, -0.954581, 0.00451835, 0.154382, -0.988001, 0.308775, 0.287504, -0.906642, 0.0963763, 0.267775, -0.958649
17, 0.533333, 0.992047, 1, 0.21358, 0.220313, -0.95176, 0.00869555, 0.159035, -0.987235, 0.308503, 0.301307, -0.902242, 0.101138, 0.270498, -0.957393
18, 0.566667, 0.99192, 1, 0.2031, 0.216756, -0.954865, 0.00764497, 0.17125, -0.985198, 0.298143, 0.297557, -0.906957, 0.101627, 0.28006, -0.954588
19, 0.6, 0.992131, 1, 0.201253, 0.201725, -0.958543, -0.00229323, 0.167623, -0.985848, 0.291114, 0.279235, -0.91503, 0.0874798, 0.273412, -0.957911
20, 0.633333, 0.992263, 1, 0.206328, 0.20258, -0.957283, 0.00601319, 0.165608, -0.986173, 0.294004, 0.28052, -0.913712, 0.0932803, 0.271424, -0.957929
21, 0.666667, 0.992178, 1, 0.201968, 0.201305, -0.958481, -0.00598486, 0.169948, -0.985435, 0.291084, 0.274878, -0.916358, 0.0833658, 0.271746, -0.958751
22, 0.7, 0.99147, 1, 0.194732, 0.236259, -0.951978, -0.0212665, 0.195911, -0.980391, 0.28598, 0.305359, -0.908279, 0.0692917, 0.294369, -0.953176
23, 0.733333, 0.990789, 1, 0.200948, 0.289029, -0.935993, -0.0767004, 0.316811, -0.945382, 0.298756, 0.360097, -0.883784, 0.0278244, 0.424011, -0.905229
24, 0.766667, 0.990873, 1, 0.19943, 0.257231, -0.945547, -0.10447, 0.30248, -0.947413, 0.291881, 0.328133, -0.898406, -0.00360856, 0.411327, -0.911481
25, 0.8, 0.992111, 1, 0.207024, 0.227374, -0.951547, -0.00911186, 0.210039, -0.977651, 0.298612, 0.294609, -0.907765, 0.0843087, 0.306529, -0.94812
26, 0.833333, 0.991891, 1, 0.203366, 0.209703, -0.956382, -0.0212687, 0.1886, -0.981824, 0.294525, 0.274585, -0.915346, 0.0713845, 0.282913, -0.956486
27, 0.866667, 0.992166, 1, 0.193727, 0.201434, -0.960153, -0.015721, 0.181184, -0.983324, 0.286128, 0.263008, -0.921389, 0.0780444, 0.269901, -0.95972
28, 0.9, 0.992109, 1, 0.191898, 0.199539, -0.960916, -0.0084082, 0.184381, -0.982819, 0.286996, 0.259912, -0.921997, 0.088559, 0.27008, -0.958757
