frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.992054, 1, 1.44225, 8.25678, 663.887, 0.152862, -0.0210861, -0.123475
2, 0.0333333, 0.991762, 1, 1.53571, 8.16685, 664.325, 0.161258, -0.0161546, -0.132484
3, 0.0666667, 0.991636, 1, 1.57809, 8.13997, 664.429, 0.164528, -0.0137004, -0.136451
4, 0.1, 0.991989, 1, 1.76802, 7.06334, 666.207, 0.150502, -0.0283838, -0.143667
5, 0.133333, 0.992227, 1, 1.65268, 6.75033, 667.385, 0.143607, -0.0391598, -0.149124
6, 0.166667, 0.99206, 1, 1.53393, 6.61992, 668.58, 0.135766, -0.0515498, -0.154519
7, 0.2, 0.992038, 1, 1.7221, 6.68502, 668.453, 0.127771, -0.0503599, -0.156446
8, 0.233333, 0.99216, 1, 2.15956, 6.01983, 668.671, 0.125873, -0.0522437, -0.157837
9, 0.266667, 0.992166, 1, 2.78208, 4.70929, 671.075, 0.115641, -0.0501603, -0.155675
10, 0.3, 0.992209, 1, 2.77754, 4.70565, 670.908, 0.114728, -0.0502723, -0.155038
11, 0.333333, 0.992195, 1, 3.54656, 3.89487, 671.211, 0.111889, -0.0513836, -0.152583
12, 0.366667, 0.992102, 1, 4.51015, 3.35913, 671.205, 0.108358, -0.0550837, -0.148208
13, 0.4, 0.991992, 1, 5.74659, 3.15782, 670.94, 0.104608, -0.0599017, -0.141047
14, 0.433333, 0.992313, 1, 6.54824, 3.36512, 671.185, 0.0998612, -0.0625183, -0.133686
15, 0.466667, 0.991745, 1, 7.31743, 3.13086, 671.766, 0.0989036, -0.0676547, -0.12744
16, 0.5, 0.992123, 1, 7.71174, 2.51046, 673.141, 0.0947622, -0.0701181, -0.121539
17, 0.533333, 0.992047, 1, 7.89963, 2.23848, 672.958, 0.0934667, -0.0711897, -0.116964
18, 0.566667, 0.99192, 1, 7.83179, 2.00886, 672.582, 0.0907657, -0.0717999, -0.11518
19, 0.6, 0.992131, 1, 7.57169, 1.68344, 672.338, 0.085735, -0.0683344, -0.115471
20, 0.633333, 0.992263, 1, 7.19823, 1.89467, 672.062, 0.086704, -0.0661901, -0.114387
21, 0.666667, 0.992178, 1, 7.03148, 1.78553, 671.971, 0.0811298, -0.0673534, -0.114007
22, 0.7, 0.99147, 1, 7.0022, 1.63339, 676.743, 0.0760457, -0.0657274, -0.114616
23, 0.733333, 0.990789, 1, 6.50842, 1.84064, 679.453, 0.0851907, -0.0673663, -0.121685
24, 0.766667, 0.990873, 1, 6.66631, 1.27714, 679.226, 0.0821122, -0.0653779, -0.120336
25, 0.8, 0.992111, 1, 6.78051, 0.652244, 676.165, 0.0763196, -0.0669892, -0.116344
26, 0.833333, 0.991891, 1, 7.22449, 0.635984, 676.028, 0.071352, -0.0685666, -0.113243
27, 0.866667, 0.992166, 1, 7.54188, 0.311032, 674.203, 0.0659265, -0.0706616, -0.112816
28, 0.9, 0.992109, 1, 7.78061, -0.108064, 674.357, 0.0637013, -0.0733597, -0.11014
29, 0.933333, 0.991758, 1, 7.96772, -1.16971, 674.496, 0.0557267, -0.0744203, -0.107404
30, 0.966667, 0.991927, 1, 8.21067, -1.84901, 673.171, 0.043958, -0.0771, -0.104255
31, 1, 0.991403, 1, 8.26038, -1.93724, 673.904, 0.0430263, -0.0765189, -0.101554
32, 1.03333, 0.991673, 1, 8.6061, -2.51438, 673.287, 0.035604, -0.0806844, -0.099336
33, 1.06667, 0.991319, 1, 8.70126, -2.43146, 672.734, 0.0334537, -0.080809, -0.0981301
34, 1.1, 0.991117, 1, 8.88342, -3.01555, 673.953, 0.0294509, -0.0760109, -0.0964056
35, 1.13333, 0.990572, 1, 8.96545, -3.86157, 673.918, 0.0220467, -0.0732826, -0.0937391
36, 1.16667, 0.990629, 1, 9.18242, -4.09355, 673.829, 0.0173555, -0.0750606, -0.0921857
37, 1.2, 0.99122, 1, 9.49273, -4.56825, 674.557, 0.0119624, -0.0734955, -0.0920162
38, 1.23333, 0.991592, 1, 9.5761, -4.34056, 672.575, 0.0126544, -0.0741272, -0.0891288
39, 1.26667, 0.991319, 1, 9.70448, -4.50901, 673.174, 0.0100324, -0.0719988, -0.0866368
40, 1.3, 0.990398, 1, 9.88112, -4.6921, 672.048, 0.00759754, -0.072425, -0.087675
41, 1.33333, 0.991322, 1, 10.2099, -4.56192, 672.434, 0.0114344, -0.0705016, -0.0865621
42, 1.36667, 0.991123, 1, 10.4388, -4.57252, 672.644, 0.0135527, -0.0711858, -0.0862866
43, 1.4, 0.991094, 1, 10.6519, -4.11178, 672.402, 0.0218048, -0.0729197, -0.0847371
44, 1.43333, 0.991634, 1, 10.9331, -3.53535, 672.719, 0.0286887, -0.0746967, -0.0824959
45, 1.46667, 0.991222, 1, 11.1418, -2.87376, 675.206, 0.0284315, -0.0769517, -0.0834558
46, 1.5, 0.989723, 1, 11.085, -2.08212, 680.971, 0.0396666, -0.0779075, -0.0892881
47, 1.53333, 0.988029, 1, 11.1989, -1.86647, 681.614, 0.0410966, -0.0783094, -0.0899651
48, 1.56667, 0.988458, 1, 11.2609, -1.86335, 678.436, 0.044282, -0.0769097, -0.0897468
49, 1.6, 0.990238, 1, 11.3131, -1.87341, 676.59, 0.0448408, -0.0732986, -0.0882764
50, 1.63333, 0.990876, 1, 11.6316, -1.86307, 675.064, 0.0450254, -0.0749157, -0.0866334
